transcript_id	gene_id	gene_name	type	gene_id.short	transcript_id.short	has_geneQTL	has_isofQTL	class	shared_isof	distinct_isof	subclass
ENSG00000137764.20_6	ENSG00000137764.20_6	MAP2K5	gene	ENSG00000137764	ENSG00000137764	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000129007.14_5	ENSG00000129007.14_5	CALML4	gene	ENSG00000129007	ENSG00000129007	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
ENSG00000128973.13_6	ENSG00000128973.13_6	CLN6	gene	ENSG00000128973	ENSG00000128973	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
ENSG00000140350.15_6	ENSG00000140350.15_6	ANP32A	gene	ENSG00000140350	ENSG00000140350	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
ENSG00000137819.14_5	ENSG00000137819.14_5	PAQR5	gene	ENSG00000137819	ENSG00000137819	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
ENSG00000137821.11_7	ENSG00000137821.11_7	LRRC49	gene	ENSG00000137821	ENSG00000137821	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
ENSG00000187720.14_6	ENSG00000187720.14_6	THSD4	gene	ENSG00000187720	ENSG00000187720	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
ENSG00000137817.17_7	ENSG00000137817.17_7	PARP6	gene	ENSG00000137817	ENSG00000137817	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
ENSG00000067141.17_5	ENSG00000067141.17_5	NEO1	gene	ENSG00000067141	ENSG00000067141	TRUE	TRUE	eGene eIsof	TRUE	FALSE	Shared only
ENSG00000103855.18_4	ENSG00000103855.18_4	CD276	gene	ENSG00000103855	ENSG00000103855	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
ENSG00000261801.6_8	ENSG00000261801.6_8	LOXL1-AS1	gene	ENSG00000261801	ENSG00000261801	TRUE	TRUE	eGene eIsof	TRUE	FALSE	Shared only
ENSG00000137868.19_7	ENSG00000137868.19_7	STRA6	gene	ENSG00000137868	ENSG00000137868	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
ENSG00000179361.17_4	ENSG00000179361.17_4	ARID3B	gene	ENSG00000179361	ENSG00000179361	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
ENSG00000140474.14_6	ENSG00000140474.14_6	ULK3	gene	ENSG00000140474	ENSG00000140474	TRUE	TRUE	eGene eIsof	FALSE	FALSE	Indeterminate
ENSG00000140497.16_6	ENSG00000140497.16_6	SCAMP2	gene	ENSG00000140497	ENSG00000140497	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000178802.18_6	ENSG00000178802.18_6	MPI	gene	ENSG00000178802	ENSG00000178802	TRUE	TRUE	eGene eIsof	FALSE	FALSE	Indeterminate
ENSG00000198794.12_8	ENSG00000198794.12_8	SCAMP5	gene	ENSG00000198794	ENSG00000198794	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
ENSG00000138621.12_7	ENSG00000138621.12_7	PPCDC	gene	ENSG00000138621	ENSG00000138621	TRUE	TRUE	eGene eIsof	FALSE	FALSE	Indeterminate
ENSG00000140400.17_9	ENSG00000140400.17_9	MAN2C1	gene	ENSG00000140400	ENSG00000140400	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000169371.14_6	ENSG00000169371.14_6	SNUPN	gene	ENSG00000169371	ENSG00000169371	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000167196.14_7	ENSG00000167196.14_7	FBXO22	gene	ENSG00000167196	ENSG00000167196	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
ENSG00000140374.16_7	ENSG00000140374.16_7	ETFA	gene	ENSG00000140374	ENSG00000140374	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
ENSG00000140386.13_8	ENSG00000140386.13_8	SCAPER	gene	ENSG00000140386	ENSG00000140386	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000140391.15_6	ENSG00000140391.15_6	TSPAN3	gene	ENSG00000140391	ENSG00000140391	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000173517.10_5	ENSG00000173517.10_5	PEAK1	gene	ENSG00000173517	ENSG00000173517	TRUE	TRUE	eGene eIsof	FALSE	FALSE	Indeterminate
ENSG00000169783.12_7	ENSG00000169783.12_7	LINGO1	gene	ENSG00000169783	ENSG00000169783	TRUE	TRUE	eGene eIsof	FALSE	FALSE	Indeterminate
ENSG00000259666.3_7	ENSG00000259666.3_7	LINGO1-AS1	gene	ENSG00000259666	ENSG00000259666	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000167202.11_5	ENSG00000167202.11_5	TBC1D2B	gene	ENSG00000167202	ENSG00000167202	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000140403.12_4	ENSG00000140403.12_4	DNAJA4	gene	ENSG00000140403	ENSG00000140403	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000140395.9_8	ENSG00000140395.9_8	WDR61	gene	ENSG00000140395	ENSG00000140395	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
ENSG00000041357.16_5	ENSG00000041357.16_5	PSMA4	gene	ENSG00000041357	ENSG00000041357	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
ENSG00000103811.17_5	ENSG00000103811.17_5	CTSH	gene	ENSG00000103811	ENSG00000103811	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000136371.11_5	ENSG00000136371.11_5	MTHFS	gene	ENSG00000136371	ENSG00000136371	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
ENSG00000180953.11_6	ENSG00000180953.11_6	ST20	gene	ENSG00000180953	ENSG00000180953	TRUE	TRUE	eGene eIsof	FALSE	FALSE	Indeterminate
ENSG00000278600.1_10	ENSG00000278600.1_10	AC015871.3	gene	ENSG00000278600	ENSG00000278600	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000086666.19_7	ENSG00000086666.19_7	ZFAND6	gene	ENSG00000086666	ENSG00000086666	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
ENSG00000103876.13_5	ENSG00000103876.13_5	FAH	gene	ENSG00000103876	ENSG00000103876	TRUE	TRUE	eGene eIsof	TRUE	FALSE	Shared only
ENSG00000103888.17_4	ENSG00000103888.17_4	CEMIP	gene	ENSG00000103888	ENSG00000103888	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000277782.1_6	ENSG00000277782.1_6	AC068870.2	gene	ENSG00000277782	ENSG00000277782	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
