transcript_id	gene_id	gene_name	type	gene_id.short	transcript_id.short	has_geneQTL	has_isofQTL	class	shared_isof	distinct_isof	subclass
ENSG00000100528.12_6	ENSG00000100528.12_6	CNIH1	gene	ENSG00000100528	ENSG00000100528	TRUE	TRUE	eGene eIsof	TRUE	FALSE	Shared only
ENSG00000180008.9_4	ENSG00000180008.9_4	SOCS4	gene	ENSG00000180008	ENSG00000180008	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
ENSG00000178974.10_5	ENSG00000178974.10_5	FBXO34	gene	ENSG00000178974	ENSG00000178974	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000070367.16_6	ENSG00000070367.16_6	EXOC5	gene	ENSG00000070367	ENSG00000070367	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
ENSG00000100557.9_6	ENSG00000100557.9_6	CCDC198	gene	ENSG00000100557	ENSG00000100557	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
ENSG00000259969.1_6	ENSG00000259969.1_6	AL049838.1	gene	ENSG00000259969	ENSG00000259969	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000131966.14_6	ENSG00000131966.14_6	ACTR10	gene	ENSG00000131966	ENSG00000131966	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000100578.17_9	ENSG00000100578.17_9	KIAA0586	gene	ENSG00000100578	ENSG00000100578	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000126790.12_6	ENSG00000126790.12_6	L3HYPDH	gene	ENSG00000126790	ENSG00000126790	TRUE	TRUE	eGene eIsof	FALSE	FALSE	Indeterminate
ENSG00000050130.18_6	ENSG00000050130.18_6	JKAMP	gene	ENSG00000050130	ENSG00000050130	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
